"ID","CONTENT","FORMAT","RC","DOK"
"ITEM1","BIO","RS","SIN",2
"ITEM2","CHE","RS","SIN",1
"ITEM3","CHE","CV","EMI",2
"ITEM4","BIO","DR","IOD",2
"ITEM5","BIO","RS","IOD",2
"ITEM6","ESS","DR","EMI",2
"ITEM7","PHY","DR","EMI",2
"ITEM8","PHY","DR","IOD",2
"ITEM9","CHE","DR","IOD",2
"ITEM10","BIO","CV","EMI",1
"ITEM11","ESS","RS","SIN",1
"ITEM12","BIO","RS","SIN",2
"ITEM13","CHE","DR","IOD",2
"ITEM14","BIO","DR","IOD",2
"ITEM15","ESS","DR","IOD",2
"ITEM16","ESS","CV","EMI",1
"ITEM17","BIO","CV","EMI",2
"ITEM18","ESS","RS","SIN",1
"ITEM19","ESS","DR","EMI",2
"ITEM20","BIO","RS","IOD",3
"ITEM21","BIO","CV","EMI",2
"ITEM22","BIO","DR","IOD",2
"ITEM23","PHY","DR","IOD",2
"ITEM24","PHY","DR","IOD",2
"ITEM25","PHY","RS","SIN",3
"ITEM26","CHE","DR","IOD",2
"ITEM27","ESS","RS","SIN",2
"ITEM28","BIO","DR","EMI",2
"ITEM29","CHE","DR","IOD",2
"ITEM30","CHE","CV","EMI",2
"ITEM31","CHE","DR","IOD",3
"ITEM32","BIO","DR","IOD",2
"ITEM33","CHE","DR","EMI",2
"ITEM34","BIO","RS","EMI",2
"ITEM35","CHE","DR","IOD",3
"ITEM36","ESS","RS","IOD",2
"ITEM37","ESS","RS","SIN",2
"ITEM38","CHE","DR","EMI",3
"ITEM39","BIO","RS","IOD",2
"ITEM40","ESS","RS","IOD",2
"ITEM41","BIO","DR","IOD",3
"ITEM42","BIO","CV","EMI",3
"ITEM43","PHY","CV","EMI",2
"ITEM44","CHE","DR","IOD",2
"ITEM45","ESS","RS","IOD",3
"ITEM46","BIO","DR","EMI",2
"ITEM47","BIO","CV","EMI",2
"ITEM48","BIO","CV","EMI",2
"ITEM49","CHE","RS","IOD",2
"ITEM50","BIO","DR","IOD",2
"ITEM51","PHY","RS","EMI",2
"ITEM52","BIO","DR","IOD",1
"ITEM53","BIO","CV","EMI",3
"ITEM54","PHY","DR","IOD",2
"ITEM55","PHY","RS","SIN",2
"ITEM56","CHE","DR","IOD",2
"ITEM57","ESS","CV","EMI",3
"ITEM58","PHY","DR","IOD",2
"ITEM59","CHE","RS","SIN",2
"ITEM60","PHY","RS","SIN",2
"ITEM61","BIO","RS","EMI",2
"ITEM62","PHY","DR","IOD",2
"ITEM63","ESS","RS","EMI",2
"ITEM64","BIO","DR","IOD",2
"ITEM65","ESS","RS","IOD",2
"ITEM66","PHY","CV","EMI",2
"ITEM67","BIO","DR","IOD",2
"ITEM68","BIO","DR","IOD",2
"ITEM69","CHE","RS","IOD",2
"ITEM70","BIO","RS","IOD",2
"ITEM71","BIO","RS","SIN",2
"ITEM72","BIO","RS","SIN",2
"ITEM73","ESS","RS","IOD",1
"ITEM74","CHE","DR","IOD",3
"ITEM75","BIO","DR","IOD",2
"ITEM76","ESS","RS","EMI",2
"ITEM77","BIO","RS","IOD",2
"ITEM78","ESS","RS","SIN",2
"ITEM79","CHE","RS","SIN",2
"ITEM80","CHE","DR","IOD",1
"ITEM81","PHY","DR","SIN",2
"ITEM82","ESS","DR","IOD",2
"ITEM83","PHY","RS","SIN",2
"ITEM84","BIO","DR","IOD",2
"ITEM85","ESS","RS","SIN",2
"ITEM86","CHE","DR","IOD",2
"ITEM87","PHY","RS","SIN",2
"ITEM88","BIO","RS","IOD",2
"ITEM89","ESS","RS","SIN",2
"ITEM90","CHE","DR","IOD",2
"ITEM91","PHY","CV","EMI",2
"ITEM92","PHY","DR","SIN",2
"ITEM93","PHY","RS","SIN",2
"ITEM94","PHY","RS","SIN",2
"ITEM95","ESS","DR","IOD",2
"ITEM96","BIO","CV","EMI",2
"ITEM97","CHE","RS","SIN",2
"ITEM98","BIO","RS","SIN",3
"ITEM99","BIO","DR","SIN",3
"ITEM100","CHE","RS","IOD",2
"ITEM101","PHY","DR","EMI",2
"ITEM102","ESS","RS","EMI",2
"ITEM103","BIO","DR","EMI",2
"ITEM104","CHE","CV","EMI",2
"ITEM105","ESS","CV","EMI",2
"ITEM106","BIO","CV","EMI",2
"ITEM107","PHY","DR","IOD",2
"ITEM108","BIO","RS","SIN",2
"ITEM109","ESS","DR","IOD",2
"ITEM110","BIO","RS","IOD",2
"ITEM111","BIO","DR","SIN",2
"ITEM112","CHE","RS","EMI",2
"ITEM113","CHE","RS","SIN",2
"ITEM114","BIO","RS","SIN",2
"ITEM115","ESS","DR","IOD",2
"ITEM116","CHE","RS","SIN",2
"ITEM117","BIO","DR","IOD",2
"ITEM118","BIO","DR","EMI",2
"ITEM119","BIO","DR","IOD",2
"ITEM120","CHE","CV","SIN",2
"ITEM121","PHY","CV","IOD",2
"ITEM122","BIO","CV","EMI",1
"ITEM123","BIO","RS","EMI",3
"ITEM124","BIO","RS","IOD",2
"ITEM125","CHE","CV","EMI",1
"ITEM126","BIO","RS","IOD",2
"ITEM127","BIO","DR","IOD",2
"ITEM128","CHE","RS","EMI",2
"ITEM129","ESS","RS","SIN",2
"ITEM130","CHE","DR","IOD",2
"ITEM131","ESS","CV","EMI",2
"ITEM132","ESS","RS","IOD",2
"ITEM133","CHE","DR","IOD",2
"ITEM134","BIO","RS","EMI",2
"ITEM135","BIO","RS","EMI",2
"ITEM136","CHE","DR","IOD",2
"ITEM137","BIO","RS","EMI",2
"ITEM138","BIO","RS","IOD",2
"ITEM139","PHY","DR","EMI",3
"ITEM140","ESS","RS","SIN",2
"ITEM141","BIO","RS","SIN",2
"ITEM142","BIO","RS","SIN",2
"ITEM143","PHY","CV","EMI",2
"ITEM144","CHE","RS","SIN",2
"ITEM145","PHY","RS","SIN",2
"ITEM146","PHY","DR","IOD",2
"ITEM147","BIO","RS","IOD",2
"ITEM148","CHE","RS","SIN",2
"ITEM149","BIO","RS","EMI",2
"ITEM150","ESS","RS","IOD",1
"ITEM151","CHE","RS","SIN",2
"ITEM152","PHY","DR","IOD",2
"ITEM153","CHE","CV","IOD",2
"ITEM154","PHY","CV","EMI",2
"ITEM155","BIO","RS","SIN",2
"ITEM156","PHY","CV","EMI",3
"ITEM157","BIO","DR","IOD",1
"ITEM158","CHE","RS","SIN",2
"ITEM159","PHY","CV","EMI",3
"ITEM160","CHE","CV","EMI",2
"ITEM161","BIO","DR","IOD",2
"ITEM162","PHY","RS","SIN",2
"ITEM163","BIO","DR","SIN",2
"ITEM164","PHY","CV","EMI",2
"ITEM165","BIO","RS","IOD",2
"ITEM166","CHE","CV","EMI",2
"ITEM167","BIO","RS","IOD",2
"ITEM168","ESS","RS","SIN",2
"ITEM169","BIO","RS","EMI",2
"ITEM170","PHY","RS","SIN",3
"ITEM171","CHE","RS","SIN",2
"ITEM172","ESS","RS","SIN",2
"ITEM173","ESS","DR","EMI",2
"ITEM174","BIO","DR","EMI",2
"ITEM175","PHY","CV","EMI",2
"ITEM176","CHE","CV","EMI",2
"ITEM177","ESS","DR","IOD",3
"ITEM178","ESS","RS","SIN",2
"ITEM179","BIO","DR","IOD",1
"ITEM180","CHE","DR","IOD",2
"ITEM181","CHE","DR","EMI",2
"ITEM182","ESS","RS","SIN",2
"ITEM183","ESS","DR","EMI",2
"ITEM184","BIO","RS","EMI",3
"ITEM185","BIO","DR","IOD",2
"ITEM186","BIO","DR","IOD",2
"ITEM187","BIO","CV","EMI",2
"ITEM188","ESS","DR","IOD",2
"ITEM189","CHE","RS","EMI",2
"ITEM190","PHY","RS","SIN",2
"ITEM191","CHE","DR","EMI",2
"ITEM192","PHY","DR","IOD",3
"ITEM193","BIO","RS","EMI",2
"ITEM194","PHY","CV","EMI",2
"ITEM195","ESS","RS","SIN",2
"ITEM196","PHY","RS","IOD",1
"ITEM197","ESS","DR","IOD",2
"ITEM198","PHY","RS","IOD",2
"ITEM199","ESS","RS","SIN",2
"ITEM200","PHY","RS","SIN",2
"ITEM201","BIO","DR","IOD",2
"ITEM202","ESS","RS","IOD",1
"ITEM203","PHY","DR","IOD",2
"ITEM204","ESS","DR","EMI",2
"ITEM205","ESS","RS","EMI",3
"ITEM206","CHE","RS","SIN",2
"ITEM207","PHY","RS","SIN",2
"ITEM208","ESS","DR","EMI",3
"ITEM209","BIO","CV","EMI",2
"ITEM210","BIO","RS","SIN",2
"ITEM211","BIO","RS","IOD",2
"ITEM212","BIO","RS","IOD",2
"ITEM213","PHY","RS","IOD",2
"ITEM214","CHE","RS","SIN",2
"ITEM215","BIO","DR","SIN",2
"ITEM216","ESS","DR","IOD",2
"ITEM217","PHY","DR","IOD",2
"ITEM218","BIO","RS","SIN",2
"ITEM219","PHY","DR","EMI",2
"ITEM220","CHE","RS","EMI",3
"ITEM221","BIO","DR","SIN",2
"ITEM222","CHE","RS","EMI",2
"ITEM223","CHE","RS","SIN",3
"ITEM224","CHE","RS","SIN",2
"ITEM225","BIO","RS","IOD",3
"ITEM226","ESS","RS","SIN",2
"ITEM227","BIO","RS","SIN",2
"ITEM228","ESS","RS","SIN",2
"ITEM229","CHE","DR","EMI",1
"ITEM230","CHE","CV","EMI",2
"ITEM231","BIO","RS","IOD",1
"ITEM232","BIO","DR","IOD",2
"ITEM233","ESS","RS","EMI",2
"ITEM234","CHE","RS","SIN",1
"ITEM235","CHE","CV","EMI",2
"ITEM236","PHY","RS","SIN",2
"ITEM237","PHY","DR","IOD",2
"ITEM238","CHE","CV","EMI",2
"ITEM239","ESS","DR","IOD",2
"ITEM240","BIO","CV","EMI",2
"ITEM241","ESS","DR","IOD",2
"ITEM242","CHE","RS","SIN",2
"ITEM243","CHE","RS","SIN",2
"ITEM244","BIO","CV","EMI",2
"ITEM245","BIO","DR","IOD",2
"ITEM246","BIO","RS","EMI",2
"ITEM247","BIO","RS","SIN",3
"ITEM248","CHE","CV","EMI",2
"ITEM249","BIO","RS","IOD",2
"ITEM250","BIO","DR","EMI",2
"ITEM251","PHY","DR","IOD",2
"ITEM252","CHE","RS","IOD",2
"ITEM253","BIO","DR","IOD",2
"ITEM254","BIO","DR","IOD",2
"ITEM255","PHY","RS","IOD",3
"ITEM256","PHY","RS","SIN",3
"ITEM257","PHY","DR","IOD",2
"ITEM258","CHE","CV","EMI",2
"ITEM259","ESS","RS","EMI",2
"ITEM260","BIO","CV","EMI",1
"ITEM261","ESS","RS","EMI",2
"ITEM262","ESS","DR","IOD",1
"ITEM263","BIO","DR","EMI",2
"ITEM264","CHE","DR","EMI",2
"ITEM265","CHE","RS","EMI",2
"ITEM266","BIO","DR","IOD",2
"ITEM267","ESS","CV","EMI",2
"ITEM268","ESS","RS","SIN",2
"ITEM269","BIO","RS","EMI",2
"ITEM270","CHE","RS","IOD",2
"ITEM271","CHE","DR","SIN",2
"ITEM272","PHY","DR","IOD",2
"ITEM273","BIO","DR","IOD",2
"ITEM274","CHE","RS","SIN",2
"ITEM275","CHE","RS","SIN",3
"ITEM276","ESS","CV","EMI",2
"ITEM277","CHE","RS","SIN",2
"ITEM278","CHE","RS","EMI",2
"ITEM279","BIO","RS","SIN",2
"ITEM280","CHE","DR","EMI",2
"ITEM281","BIO","RS","IOD",2
"ITEM282","CHE","DR","IOD",3
"ITEM283","PHY","DR","IOD",3
"ITEM284","CHE","RS","EMI",2
"ITEM285","BIO","DR","EMI",2
"ITEM286","BIO","RS","SIN",2
"ITEM287","PHY","DR","IOD",2
"ITEM288","CHE","RS","EMI",2
"ITEM289","BIO","CV","EMI",2
"ITEM290","BIO","RS","EMI",2
"ITEM291","PHY","RS","SIN",3
"ITEM292","BIO","RS","EMI",2
"ITEM293","PHY","RS","SIN",2
"ITEM294","BIO","DR","IOD",2
"ITEM295","CHE","RS","IOD",2
"ITEM296","ESS","DR","IOD",2
"ITEM297","BIO","RS","IOD",2
"ITEM298","CHE","RS","SIN",2
"ITEM299","CHE","RS","IOD",2
"ITEM300","CHE","DR","IOD",2
"ITEM301","BIO","RS","IOD",2
"ITEM302","BIO","RS","EMI",3
"ITEM303","ESS","RS","SIN",2
"ITEM304","PHY","RS","SIN",2
"ITEM305","PHY","DR","IOD",2
"ITEM306","BIO","RS","SIN",2
"ITEM307","CHE","RS","EMI",3
"ITEM308","CHE","CV","EMI",2
"ITEM309","PHY","CV","EMI",1
"ITEM310","ESS","CV","EMI",2
"ITEM311","CHE","RS","IOD",1
"ITEM312","CHE","CV","EMI",2
"ITEM313","CHE","CV","EMI",2
"ITEM314","BIO","CV","EMI",2
"ITEM315","ESS","DR","EMI",2
"ITEM316","BIO","RS","SIN",2
"ITEM317","CHE","RS","SIN",2
"ITEM318","CHE","RS","SIN",1
"ITEM319","PHY","CV","EMI",3
"ITEM320","CHE","RS","SIN",2
"ITEM321","CHE","CV","EMI",2
"ITEM322","BIO","RS","IOD",2
"ITEM323","ESS","RS","IOD",1
"ITEM324","ESS","RS","IOD",2
"ITEM325","ESS","RS","IOD",2
"ITEM326","CHE","DR","EMI",2
"ITEM327","ESS","RS","SIN",1
"ITEM328","BIO","CV","EMI",2
"ITEM329","BIO","CV","EMI",3
"ITEM330","CHE","RS","SIN",3
"ITEM331","ESS","DR","IOD",2
"ITEM332","BIO","DR","EMI",3
"ITEM333","CHE","RS","SIN",3
"ITEM334","PHY","CV","EMI",2
"ITEM335","ESS","DR","EMI",2
"ITEM336","CHE","CV","EMI",2
"ITEM337","CHE","DR","IOD",2
"ITEM338","CHE","DR","IOD",2
"ITEM339","CHE","DR","IOD",2
"ITEM340","ESS","CV","EMI",2
"ITEM341","ESS","RS","SIN",2
"ITEM342","ESS","CV","EMI",2
"ITEM343","PHY","CV","EMI",2
"ITEM344","CHE","DR","IOD",2
"ITEM345","PHY","RS","SIN",2
"ITEM346","PHY","RS","IOD",2
"ITEM347","PHY","RS","SIN",2
"ITEM348","BIO","RS","SIN",2
"ITEM349","PHY","DR","IOD",2
"ITEM350","PHY","DR","IOD",3
"ITEM351","BIO","DR","SIN",3
"ITEM352","CHE","DR","IOD",1
"ITEM353","PHY","RS","IOD",2
"ITEM354","CHE","RS","IOD",2
"ITEM355","CHE","RS","SIN",2
"ITEM356","PHY","RS","SIN",2
"ITEM357","PHY","DR","EMI",3
"ITEM358","PHY","RS","SIN",2
"ITEM359","PHY","RS","IOD",1
"ITEM360","PHY","RS","SIN",2
"ITEM361","CHE","CV","SIN",2
"ITEM362","PHY","RS","EMI",3
"ITEM363","CHE","RS","SIN",2
"ITEM364","BIO","CV","EMI",2
"ITEM365","BIO","CV","EMI",2
"ITEM366","PHY","RS","SIN",2
"ITEM367","CHE","CV","EMI",2
"ITEM368","ESS","RS","IOD",3
"ITEM369","PHY","RS","SIN",2
"ITEM370","ESS","RS","IOD",2
"ITEM371","BIO","CV","EMI",2
"ITEM372","PHY","RS","SIN",2
"ITEM373","CHE","CV","EMI",2
"ITEM374","PHY","RS","SIN",2
"ITEM375","PHY","RS","IOD",2
"ITEM376","BIO","RS","SIN",2
"ITEM377","CHE","RS","IOD",2
"ITEM378","ESS","CV","EMI",2
"ITEM379","PHY","RS","IOD",2
"ITEM380","BIO","DR","IOD",2
"ITEM381","CHE","RS","EMI",2
"ITEM382","BIO","RS","IOD",2
"ITEM383","CHE","RS","SIN",2
"ITEM384","CHE","DR","IOD",2
"ITEM385","ESS","RS","IOD",2
"ITEM386","CHE","CV","EMI",2
"ITEM387","CHE","DR","IOD",2
"ITEM388","PHY","RS","SIN",2
"ITEM389","BIO","RS","IOD",2
"ITEM390","BIO","CV","EMI",1
"ITEM391","BIO","RS","IOD",2
"ITEM392","ESS","RS","IOD",2
"ITEM393","CHE","RS","SIN",2
"ITEM394","PHY","CV","EMI",2
"ITEM395","PHY","DR","IOD",2
"ITEM396","BIO","DR","EMI",3
"ITEM397","BIO","RS","IOD",2
"ITEM398","CHE","DR","IOD",2
"ITEM399","ESS","CV","EMI",2
"ITEM400","CHE","DR","IOD",2
"ITEM401","PHY","RS","SIN",2
"ITEM402","ESS","DR","EMI",2
"ITEM403","ESS","RS","IOD",1
"ITEM404","PHY","DR","IOD",2
"ITEM405","CHE","RS","EMI",2
"ITEM406","PHY","RS","IOD",2
"ITEM407","BIO","CV","EMI",2
"ITEM408","PHY","CV","EMI",2
"ITEM409","PHY","RS","SIN",2
"ITEM410","PHY","RS","IOD",3
"ITEM411","PHY","CV","EMI",2
"ITEM412","ESS","DR","IOD",2
"ITEM413","BIO","CV","EMI",2
"ITEM414","CHE","DR","IOD",2
"ITEM415","PHY","DR","IOD",2
"ITEM416","BIO","RS","SIN",2
"ITEM417","PHY","RS","SIN",2
"ITEM418","BIO","DR","IOD",2
"ITEM419","ESS","RS","SIN",2
"ITEM420","ESS","RS","SIN",2
"ITEM421","BIO","RS","IOD",2
"ITEM422","CHE","DR","IOD",3
"ITEM423","PHY","CV","EMI",3
"ITEM424","ESS","RS","EMI",2
"ITEM425","ESS","DR","IOD",2
"ITEM426","CHE","RS","SIN",3
"ITEM427","BIO","RS","EMI",2
"ITEM428","PHY","CV","EMI",3
"ITEM429","PHY","DR","IOD",2
"ITEM430","PHY","DR","IOD",2
"ITEM431","ESS","CV","IOD",1
"ITEM432","PHY","RS","SIN",2
"ITEM433","PHY","DR","IOD",2
"ITEM434","CHE","RS","SIN",2
"ITEM435","CHE","CV","EMI",1
"ITEM436","ESS","RS","IOD",2
"ITEM437","BIO","RS","SIN",2
"ITEM438","BIO","RS","SIN",2
"ITEM439","CHE","DR","IOD",1
"ITEM440","ESS","RS","IOD",2
"ITEM441","BIO","DR","IOD",2
"ITEM442","ESS","DR","IOD",2
"ITEM443","CHE","RS","IOD",2
"ITEM444","BIO","RS","IOD",2
"ITEM445","ESS","RS","SIN",2
"ITEM446","CHE","DR","IOD",2
"ITEM447","CHE","RS","IOD",1
"ITEM448","BIO","RS","IOD",2
"ITEM449","BIO","DR","IOD",1
"ITEM450","BIO","RS","SIN",2
"ITEM451","BIO","DR","IOD",2
